Country,Happiness score,Year
Afghanistan,3.2,2019
Tanzania,3.23,2019
Rwanda,3.33,2019
Yemen,3.38,2019
Malawi,3.41,2019
Botswana,3.49,2019
Zimbabwe,3.66,2019
Lesotho,3.8,2019
Madagascar,3.93,2019
Comoros,3.97,2019
Liberia,3.98,2019
India,4.01,2019
Togo,4.08,2019
Zambia,4.11,2019
Egypt,4.17,2019
Uganda,4.19,2019
Ethiopia,4.29,2019
Ukraine,4.33,2019
Chad,4.35,2019
Myanmar,4.36,2019
Sri Lanka,4.37,2019
Sierra Leone,4.37,2019
Mali,4.39,2019
Iraq,4.44,2019
Bangladesh,4.46,2019
Tunisia,4.46,2019
Mozambique,4.47,2019
Mauritania,4.49,2019
Kenya,4.51,2019
Gambia,4.52,2019
Georgia,4.52,2019
Guinea,4.53,2019
Iran,4.55,2019
Armenia,4.56,2019
Burkina Faso,4.59,2019
Niger,4.63,2019
Namibia,4.64,2019
Senegal,4.68,2019
Palestinian Territories,4.7,2019
Cambodia,4.7,2019
Venezuela,4.71,2019
Albania,4.72,2019
South Africa,4.72,2019
Laos,4.8,2019
Gabon,4.8,2019
Benin,4.88,2019
Jordan,4.91,2019
Nepal,4.91,2019
Ivory Coast,4.94,2019
Ghana,5.0,2019
Bulgaria,5.01,2019
Cameroon,5.04,2019
Vietnam,5.18,2019
China,5.19,2019
Indonesia,5.19,2019
Lebanon,5.2,2019
Morocco,5.21,2019
Azerbaijan,5.21,2019
Algeria,5.21,2019
Turkmenistan,5.25,2019
Kyrgyzstan,5.26,2019
Nigeria,5.26,2019
Mongolia,5.28,2019
Greece,5.29,2019
Belarus,5.32,2019
Malaysia,5.34,2019
Turkey,5.37,2019
Bosnia and Herzegovina,5.39,2019
Dominican Republic,5.42,2019
Croatia,5.43,2019
Tajikistan,5.47,2019
Montenegro,5.52,2019
Libya,5.52,2019
Moldova,5.53,2019
Serbia,5.6,2019
Philippines,5.63,2019
Russia,5.65,2019
Pakistan,5.65,2019
Portugal,5.69,2019
Peru,5.7,2019
Paraguay,5.74,2019
Hungary,5.76,2019
Bolivia,5.78,2019
Kazakhstan,5.81,2019
Honduras,5.86,2019
Japan,5.89,2019
Mauritius,5.89,2019
Jamaica,5.89,2019
Estonia,5.89,2019
South Korea,5.9,2019
Latvia,5.94,2019
Thailand,6.01,2019
Kuwait,6.02,2019
Ecuador,6.03,2019
Cyprus,6.05,2019
Romania,6.07,2019
Argentina,6.09,2019
Kosovo,6.1,2019
Nicaragua,6.1,2019
Slovenia,6.12,2019
Colombia,6.12,2019
Lithuania,6.15,2019
Uzbekistan,6.17,2019
Poland,6.18,2019
Slovakia,6.2,2019
Bahrain,6.2,2019
Italy,6.22,2019
El Salvador,6.25,2019
Singapore,6.26,2019
Uruguay,6.29,2019
Brazil,6.3,2019
Panama,6.32,2019
Spain,6.35,2019
Saudi Arabia,6.38,2019
Guatemala,6.44,2019
Chile,6.44,2019
France,6.59,2019
Mexico,6.6,2019
Malta,6.73,2019
United Arab Emirates,6.82,2019
United States,6.89,2019
Belgium,6.92,2019
Germany,6.98,2019
Ireland,7.02,2019
