Country,Year,SDG Score
South Sudan,2019,36.8
Central African Republic,2019,38.5
Chad,2019,42.1
Afghanistan,2019,46.4
Niger,2019,46.9
"Yemen, Rep.",2019,47.0
Somalia,2019,47.4
"Congo, Dem. Rep.",2019,47.8
Sudan,2019,48.7
Liberia,2019,49.6
Madagascar,2019,49.9
Low-income Countries,2019,50.4
Angola,2019,50.7
Burkina Faso,2019,51.5
Djibouti,2019,51.6
Haiti,2019,51.8
Comoros,2019,52.4
Sub-Saharan Africa,2019,52.6
"Congo, Rep.",2019,52.7
Mozambique,2019,52.7
Oceania,2019,52.7
Burundi,2019,52.9
Ethiopia,2019,53.2
Nigeria,2019,53.2
Zambia,2019,53.4
Guinea,2019,53.5
Papua New Guinea,2019,53.6
Uganda,2019,53.6
Zimbabwe,2019,53.7
Benin,2019,54.0
Cameroon,2019,54.5
Lesotho,2019,54.5
Sierra Leone,2019,54.5
Togo,2019,55.2
Malawi,2019,55.4
Syrian Arab Republic,2019,55.5
Mauritania,2019,56.2
Mali,2019,56.5
Eswatini,2019,56.9
Tanzania,2019,56.9
"Gambia, The",2019,58.0
Pakistan,2019,58.4
Rwanda,2019,58.8
Guatemala,2019,59.2
"Bahamas, The",2019,60.3
Lower & Lower-middle Income,2019,60.3
Senegal,2019,60.4
Kenya,2019,60.5
Bahrain,2019,60.7
Cote d'Ivoire,2019,61.3
Sao Tome and Principe,2019,61.3
Ghana,2019,61.6
"Venezuela, RB",2019,61.6
Botswana,2019,61.7
Gabon,2019,62.2
India,2019,62.2
Cambodia,2019,62.3
Iraq,2019,62.4
Lower-middle-income Countries,2019,62.5
Lao PDR,2019,62.6
Myanmar,2019,62.6
Honduras,2019,62.9
Kuwait,2019,63.2
South Africa,2019,63.2
Namibia,2019,63.5
Bangladesh,2019,63.6
Brunei Darussalam,2019,63.6
Small Island Developing States,2019,63.6
Qatar,2019,63.7
Trinidad and Tobago,2019,64.1
Nicaragua,2019,64.4
Saudi Arabia,2019,64.9
Mongolia,2019,65.5
World,2019,66.0
East and South Asia,2019,66.2
Nepal,2019,66.2
Middle East and North Africa,2019,66.5
Panama,2019,66.9
Belize,2019,67.0
Philippines,2019,67.2
Oman,2019,67.3
Turkmenistan,2019,67.6
Cabo Verde,2019,67.7
Guyana,2019,67.7
Lebanon,2019,67.9
Paraguay,2019,68.0
"Egypt, Arab Rep.",2019,68.3
Mauritius,2019,68.6
Tajikistan,2019,68.9
Indonesia,2019,69.0
"Iran, Islamic Rep.",2019,69.0
Mexico,2019,69.1
Malaysia,2019,69.2
Jamaica,2019,69.3
Latin America and the Caribbean,2019,69.4
Uzbekistan,2019,69.4
United Arab Emirates,2019,69.5
Barbados,2019,69.6
Sri Lanka,2019,69.6
Jordan,2019,69.7
Suriname,2019,69.7
Bolivia,2019,69.8
El Salvador,2019,69.8
Morocco,2019,70.0
